top - 17:49:06 up  2:22,  1 user,  load average: 1,03, 0,33, 0,10
Tareas: 412 total,   1 ejecutar,  411 hibernar,    0 detener,    0 zombie
%Cpu(s):  4,0 us,  1,3 sy,  0,0 ni, 94,0 id,  0,7 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :  31453,3 total,  22974,8 libre,   5227,1 usado,   3744,6 búf/caché    
MiB Intercambio:   2048,0 total,   2048,0 libre,      0,0 usado.  26226,1 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
 107281 dam       20   0   17228   5760   3584 R   9,1   0,0   0:00.02 top
    143 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    150 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    161 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    189 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
    194 root       0 -20       0      0      0 I   0,0   0,0   0:00.04 kworker+
    203 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
    209 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker+
    219 root       0 -20       0      0      0 I   0,0   0,0   0:00.12 kworker+
    221 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
    224 root       0 -20       0      0      0 I   0,0   0,0   0:00.04 kworker+
    227 root       0 -20       0      0      0 I   0,0   0,0   0:00.04 kworker+
    230 root       0 -20       0      0      0 I   0,0   0,0   0:00.04 kworker+
    236 root       0 -20       0      0      0 I   0,0   0,0   0:00.07 kworker+
    237 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    238 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    239 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    240 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    242 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    243 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    244 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    245 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    246 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    247 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    248 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    249 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    250 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    251 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    252 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    253 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    259 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    261 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    264 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    265 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    268 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    269 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    302 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    303 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    304 root      20   0       0      0      0 S   0,0   0,0   0:00.24 usb-sto+
    305 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    336 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    386 root      20   0       0      0      0 S   0,0   0,0   0:00.19 jbd2/sd+
    387 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    449 root      19  -1   50716  17180  16028 S   0,0   0,1   0:00.58 systemd+
    479 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    481 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    482 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    483 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    487 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    488 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    533 root      20   0   30184   8064   4864 S   0,0   0,0   0:00.20 systemd+
    536 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
    888 root      20   0       0      0      0 S   0,0   0,0   0:00.00 jbd2/sd+
    889 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    921 root      20   0       0      0      0 S   0,0   0,0   0:00.48 jbd2/sd+
    922 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    929 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    930 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    931 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    932 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    933 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    934 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    935 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
    936 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
    937 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
    938 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-c+
